




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	L2-3 IT All DE Genes.txt (Mus musculus)
Reference List:	L2-3 IT All Expressed Genes.txt (Mus musculus)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	FISHER
Correction:	FDR
GO biological process complete	L2-3 IT All Expressed Genes.txt - REFLIST (9465)	L2-3 IT All DE Genes.txt (249)	L2-3 IT All DE Genes.txt (expected)	L2-3 IT All DE Genes.txt (over/under)	L2-3 IT All DE Genes.txt (fold Enrichment)	L2-3 IT All DE Genes.txt (raw P-value)	L2-3 IT All DE Genes.txt (FDR)
T-tubule organization (GO:0033292)	3	1	.08	+	12.67	9.87E-02	1.00E00
positive regulation of glucokinase activity (GO:0033133)	3	1	.08	+	12.67	9.87E-02	1.00E00
cellular response to ether (GO:0071362)	6	2	.16	+	12.67	1.65E-02	9.01E-01
calcium ion export (GO:1901660)	3	1	.08	+	12.67	9.87E-02	1.00E00
positive regulation of T cell differentiation in thymus (GO:0033089)	3	1	.08	+	12.67	9.87E-02	1.00E00
glutamate homeostasis (GO:0090461)	3	1	.08	+	12.67	9.87E-02	1.00E00
acinar cell differentiation (GO:0090425)	3	1	.08	+	12.67	9.87E-02	1.00E00
positive regulation of gonad development (GO:1905941)	3	1	.08	+	12.67	9.87E-02	1.00E00
negative regulation of serotonin uptake (GO:0051612)	3	1	.08	+	12.67	9.87E-02	1.00E00
regulation of serotonin uptake (GO:0051611)	3	1	.08	+	12.67	9.87E-02	1.00E00
negative regulation of branching morphogenesis of a nerve (GO:2000173)	3	1	.08	+	12.67	9.87E-02	1.00E00
regulation of postsynaptic cytosolic calcium ion concentration (GO:0099566)	3	1	.08	+	12.67	9.87E-02	1.00E00
trans-synaptic signaling by trans-synaptic complex, modulating synaptic transmission (GO:0099557)	3	1	.08	+	12.67	9.87E-02	1.00E00
positive regulation of sodium:proton antiporter activity (GO:0032417)	3	1	.08	+	12.67	9.87E-02	1.00E00
regulation of sodium:proton antiporter activity (GO:0032415)	3	1	.08	+	12.67	9.87E-02	1.00E00
negative regulation of neurotransmitter uptake (GO:0051581)	3	1	.08	+	12.67	9.87E-02	1.00E00
histone H2B acetylation (GO:0043969)	3	1	.08	+	12.67	9.87E-02	1.00E00
positive regulation of lymphangiogenesis (GO:1901492)	3	1	.08	+	12.67	9.87E-02	1.00E00
nuclear matrix anchoring at nuclear membrane (GO:0090292)	3	1	.08	+	12.67	9.87E-02	1.00E00
positive regulation of fibroblast growth factor production (GO:0090271)	3	1	.08	+	12.67	9.87E-02	1.00E00
response to interleukin-15 (GO:0070672)	3	1	.08	+	12.67	9.87E-02	1.00E00
negative regulation of cell-cell adhesion mediated by cadherin (GO:2000048)	3	1	.08	+	12.67	9.87E-02	1.00E00
negative regulation of icosanoid secretion (GO:0032304)	3	1	.08	+	12.67	9.87E-02	1.00E00
regulation of cardiac muscle cell action potential involved in regulation of contraction (GO:0098909)	3	1	.08	+	12.67	9.87E-02	1.00E00
negative regulation of pancreatic juice secretion (GO:0090188)	3	1	.08	+	12.67	9.87E-02	1.00E00
lactone metabolic process (GO:1901334)	3	1	.08	+	12.67	9.87E-02	1.00E00
negative regulation of blood-brain barrier permeability (GO:1905604)	3	1	.08	+	12.67	9.87E-02	1.00E00
leukocyte aggregation (GO:0070486)	3	1	.08	+	12.67	9.87E-02	1.00E00
negative regulation of steroid hormone biosynthetic process (GO:0090032)	3	1	.08	+	12.67	9.87E-02	1.00E00
serotonergic neuron axon guidance (GO:0036515)	3	1	.08	+	12.67	9.87E-02	1.00E00
positive regulation of low-density lipoprotein receptor activity (GO:1905599)	3	1	.08	+	12.67	9.87E-02	1.00E00
intrinsic apoptotic signaling pathway in response to hypoxia (GO:1990144)	3	1	.08	+	12.67	9.87E-02	1.00E00
neural crest cell migration involved in autonomic nervous system development (GO:1901166)	3	1	.08	+	12.67	9.87E-02	1.00E00
messenger ribonucleoprotein complex assembly (GO:1990120)	3	1	.08	+	12.67	9.87E-02	1.00E00
positive regulation of fever generation (GO:0031622)	3	1	.08	+	12.67	9.87E-02	1.00E00
regulation of fever generation (GO:0031620)	3	1	.08	+	12.67	9.87E-02	1.00E00
ventral trunk neural crest cell migration (GO:0036486)	3	1	.08	+	12.67	9.87E-02	1.00E00
trunk neural crest cell migration (GO:0036484)	3	1	.08	+	12.67	9.87E-02	1.00E00
regulation of retrograde trans-synaptic signaling by endocanabinoid (GO:0099178)	3	1	.08	+	12.67	9.87E-02	1.00E00
nuclear matrix organization (GO:0043578)	3	1	.08	+	12.67	9.87E-02	1.00E00
negative regulation of insulin-like growth factor receptor signaling pathway (GO:0043569)	3	1	.08	+	12.67	9.87E-02	1.00E00
response to nematode (GO:0009624)	3	1	.08	+	12.67	9.87E-02	1.00E00
vascular endothelial growth factor receptor-2 signaling pathway (GO:0036324)	3	1	.08	+	12.67	9.87E-02	1.00E00
establishment or maintenance of actin cytoskeleton polarity (GO:0030950)	3	1	.08	+	12.67	9.87E-02	1.00E00
putrescine biosynthetic process (GO:0009446)	3	1	.08	+	12.67	9.87E-02	1.00E00
phosphatidylethanolamine acyl-chain remodeling (GO:0036152)	3	1	.08	+	12.67	9.87E-02	1.00E00
phosphatidylserine acyl-chain remodeling (GO:0036150)	3	1	.08	+	12.67	9.87E-02	1.00E00
histone H3-K9 trimethylation (GO:0036124)	3	1	.08	+	12.67	9.87E-02	1.00E00
cellular response to ionomycin (GO:1904637)	3	1	.08	+	12.67	9.87E-02	1.00E00
response to ionomycin (GO:1904636)	3	1	.08	+	12.67	9.87E-02	1.00E00
histone H4-K20 demethylation (GO:0035574)	3	1	.08	+	12.67	9.87E-02	1.00E00
phosphatidylinositol catabolic process (GO:0031161)	3	1	.08	+	12.67	9.87E-02	1.00E00
aminophospholipid transport (GO:0015917)	3	1	.08	+	12.67	9.87E-02	1.00E00
meiotic chromosome movement towards spindle pole (GO:0016344)	3	1	.08	+	12.67	9.87E-02	1.00E00
secretory granule maturation (GO:0061792)	3	1	.08	+	12.67	9.87E-02	1.00E00
positive regulation of Notch signaling pathway involved in heart induction (GO:0035481)	3	1	.08	+	12.67	9.87E-02	1.00E00
regulation of Notch signaling pathway involved in heart induction (GO:0035480)	3	1	.08	+	12.67	9.87E-02	1.00E00
cell migration involved in vasculogenesis (GO:0035441)	3	1	.08	+	12.67	9.87E-02	1.00E00
serine phosphorylation of STAT protein (GO:0042501)	3	1	.08	+	12.67	9.87E-02	1.00E00
bundle of His cell-Purkinje myocyte adhesion involved in cell communication (GO:0086073)	3	1	.08	+	12.67	9.87E-02	1.00E00
prostaglandin transport (GO:0015732)	3	1	.08	+	12.67	9.87E-02	1.00E00
membrane repolarization during action potential (GO:0086011)	3	1	.08	+	12.67	9.87E-02	1.00E00
regulation of skeletal muscle acetylcholine-gated channel clustering (GO:1904393)	6	2	.16	+	12.67	1.65E-02	8.98E-01
negative regulation of sequestering of triglyceride (GO:0010891)	3	1	.08	+	12.67	9.87E-02	1.00E00
regulation of ATF6-mediated unfolded protein response (GO:1903891)	3	1	.08	+	12.67	9.87E-02	1.00E00
trigeminal ganglion development (GO:0061551)	3	1	.08	+	12.67	9.87E-02	1.00E00
trunk segmentation (GO:0035290)	3	1	.08	+	12.67	9.87E-02	1.00E00
basal dendrite arborization (GO:0150020)	3	1	.08	+	12.67	9.87E-02	1.00E00
sympathetic neuron projection guidance (GO:0097491)	3	1	.08	+	12.67	9.87E-02	1.00E00
sympathetic neuron projection extension (GO:0097490)	3	1	.08	+	12.67	9.87E-02	1.00E00
basal dendrite morphogenesis (GO:0150019)	3	1	.08	+	12.67	9.87E-02	1.00E00
basal dendrite development (GO:0150018)	3	1	.08	+	12.67	9.87E-02	1.00E00
snRNA catabolic process (GO:0016076)	3	1	.08	+	12.67	9.87E-02	1.00E00
negative regulation of p38MAPK cascade (GO:1903753)	3	1	.08	+	12.67	9.87E-02	1.00E00
regulation of MDA-5 signaling pathway (GO:0039533)	3	1	.08	+	12.67	9.87E-02	1.00E00
peptidyl-arginine methylation, to asymmetrical-dimethyl arginine (GO:0019919)	3	1	.08	+	12.67	9.87E-02	1.00E00
regulation of gamma-delta T cell activation (GO:0046643)	3	1	.08	+	12.67	9.87E-02	1.00E00
establishment of Sertoli cell barrier (GO:0097368)	3	1	.08	+	12.67	9.87E-02	1.00E00
protein localization to heterochromatin (GO:0097355)	3	1	.08	+	12.67	9.87E-02	1.00E00
L-ascorbic acid metabolic process (GO:0019852)	3	1	.08	+	12.67	9.87E-02	1.00E00
establishment of blood-brain barrier (GO:0060856)	3	1	.08	+	12.67	9.87E-02	1.00E00
positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis (GO:1903589)	3	1	.08	+	12.67	9.87E-02	1.00E00
cellular response to rapamycin (GO:0072752)	3	1	.08	+	12.67	9.87E-02	1.00E00
brainstem development (GO:0003360)	3	1	.08	+	12.67	9.87E-02	1.00E00
response to anisomycin (GO:0072739)	3	1	.08	+	12.67	9.87E-02	1.00E00
positive regulation of mast cell chemotaxis (GO:0060754)	3	1	.08	+	12.67	9.87E-02	1.00E00
regulation of mast cell chemotaxis (GO:0060753)	3	1	.08	+	12.67	9.87E-02	1.00E00
fasciculation of sensory neuron axon (GO:0097155)	3	1	.08	+	12.67	9.87E-02	1.00E00
negative regulation of acute inflammatory response to antigenic stimulus (GO:0002865)	3	1	.08	+	12.67	9.87E-02	1.00E00
positive regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process (GO:1902961)	6	2	.16	+	12.67	1.65E-02	8.94E-01
mesodermal cell migration (GO:0008078)	3	1	.08	+	12.67	9.87E-02	1.00E00
lymphocyte migration into lymphoid organs (GO:0097021)	3	1	.08	+	12.67	9.87E-02	1.00E00
regulation of skeletal muscle contraction by calcium ion signaling (GO:0014722)	3	1	.08	+	12.67	9.87E-02	1.00E00
positive regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway (GO:1903378)	3	1	.08	+	12.67	9.87E-02	1.00E00
facioacoustic ganglion development (GO:1903375)	3	1	.08	+	12.67	9.87E-02	1.00E00
hypothalamic tangential migration using cell-axon interactions (GO:0021856)	3	1	.08	+	12.67	9.87E-02	1.00E00
hypothalamus cell migration (GO:0021855)	3	1	.08	+	12.67	9.87E-02	1.00E00
gonadotrophin-releasing hormone neuronal migration to the hypothalamus (GO:0021828)	3	1	.08	+	12.67	9.87E-02	1.00E00
endothelial cell apoptotic process (GO:0072577)	3	1	.08	+	12.67	9.87E-02	1.00E00
liver morphogenesis (GO:0072576)	3	1	.08	+	12.67	9.87E-02	1.00E00
positive regulation of hexokinase activity (GO:1903301)	3	1	.08	+	12.67	9.87E-02	1.00E00
endocardium morphogenesis (GO:0003160)	3	1	.08	+	12.67	9.87E-02	1.00E00
monovalent inorganic anion homeostasis (GO:0055083)	10	3	.26	+	11.40	3.93E-03	5.94E-01
chloride ion homeostasis (GO:0055064)	10	3	.26	+	11.40	3.93E-03	5.87E-01
regulation of potassium ion import (GO:1903286)	7	2	.18	+	10.86	2.09E-02	9.89E-01
regulation of vascular associated smooth muscle contraction (GO:0003056)	7	2	.18	+	10.86	2.09E-02	9.86E-01
regulation of heterotypic cell-cell adhesion (GO:0034114)	7	2	.18	+	10.86	2.09E-02	9.82E-01
cranial nerve structural organization (GO:0021604)	7	2	.18	+	10.86	2.09E-02	9.79E-01
lymphangiogenesis (GO:0001946)	7	2	.18	+	10.86	2.09E-02	9.75E-01
activation of adenylate cyclase activity (GO:0007190)	7	2	.18	+	10.86	2.09E-02	9.72E-01
chemical homeostasis within a tissue (GO:0048875)	7	2	.18	+	10.86	2.09E-02	9.69E-01
regulation of branching morphogenesis of a nerve (GO:2000172)	7	2	.18	+	10.86	2.09E-02	9.65E-01
dicarboxylic acid biosynthetic process (GO:0043650)	7	2	.18	+	10.86	2.09E-02	9.62E-01
endothelial cell chemotaxis (GO:0035767)	7	2	.18	+	10.86	2.09E-02	9.59E-01
positive regulation of aspartic-type peptidase activity (GO:1905247)	7	2	.18	+	10.86	2.09E-02	9.55E-01
ubiquitin recycling (GO:0010992)	7	2	.18	+	10.86	2.09E-02	9.52E-01
glutamine family amino acid biosynthetic process (GO:0009084)	7	2	.18	+	10.86	2.09E-02	9.49E-01
negative regulation of mitochondrial fusion (GO:0010637)	7	2	.18	+	10.86	2.09E-02	9.46E-01
positive regulation of fibroblast growth factor receptor signaling pathway (GO:0045743)	8	2	.21	+	9.50	2.57E-02	1.00E00
regulation of calcium ion-dependent exocytosis of neurotransmitter (GO:1903233)	4	1	.11	+	9.50	1.22E-01	1.00E00
bud elongation involved in lung branching (GO:0060449)	4	1	.11	+	9.50	1.22E-01	1.00E00
lung growth (GO:0060437)	4	1	.11	+	9.50	1.22E-01	1.00E00
regulation of toll-like receptor 9 signaling pathway (GO:0034163)	4	1	.11	+	9.50	1.22E-01	1.00E00
protein deubiquitination involved in ubiquitin-dependent protein catabolic process (GO:0071947)	4	1	.11	+	9.50	1.22E-01	1.00E00
negative regulation of cell adhesion mediated by integrin (GO:0033629)	4	1	.11	+	9.50	1.22E-01	1.00E00
positive regulation of mammary gland epithelial cell proliferation (GO:0033601)	4	1	.11	+	9.50	1.22E-01	1.00E00
trigeminal nerve structural organization (GO:0021637)	4	1	.11	+	9.50	1.22E-01	1.00E00
trigeminal nerve morphogenesis (GO:0021636)	4	1	.11	+	9.50	1.22E-01	1.00E00
bone trabecula formation (GO:0060346)	4	1	.11	+	9.50	1.22E-01	1.00E00
regulation of grooming behavior (GO:2000821)	4	1	.11	+	9.50	1.22E-01	1.00E00
positive regulation of synaptic vesicle clustering (GO:2000809)	8	2	.21	+	9.50	2.57E-02	1.00E00
primitive erythrocyte differentiation (GO:0060319)	4	1	.11	+	9.50	1.22E-01	1.00E00
regulation of vasculogenesis (GO:2001212)	4	1	.11	+	9.50	1.22E-01	1.00E00
trigeminal nerve development (GO:0021559)	4	1	.11	+	9.50	1.22E-01	1.00E00
G protein-coupled acetylcholine receptor signaling pathway (GO:0007213)	8	2	.21	+	9.50	2.57E-02	1.00E00
detection of cell density (GO:0060245)	4	1	.11	+	9.50	1.22E-01	1.00E00
response to ether (GO:0045472)	8	2	.21	+	9.50	2.57E-02	1.00E00
adenylate cyclase-inhibiting G protein-coupled acetylcholine receptor signaling pathway (GO:0007197)	4	1	.11	+	9.50	1.22E-01	1.00E00
adenylate cyclase-activating dopamine receptor signaling pathway (GO:0007191)	4	1	.11	+	9.50	1.22E-01	1.00E00
nephric duct development (GO:0072176)	4	1	.11	+	9.50	1.22E-01	1.00E00
trophectodermal cell differentiation (GO:0001829)	8	2	.21	+	9.50	2.57E-02	1.00E00
regulation of miRNA catabolic process (GO:2000625)	4	1	.11	+	9.50	1.22E-01	1.00E00
sphingomyelin biosynthetic process (GO:0006686)	8	2	.21	+	9.50	2.57E-02	1.00E00
NLS-bearing protein import into nucleus (GO:0006607)	8	2	.21	+	9.50	2.57E-02	1.00E00
neuropilin signaling pathway (GO:0038189)	4	1	.11	+	9.50	1.22E-01	1.00E00
hard palate development (GO:0060022)	4	1	.11	+	9.50	1.22E-01	1.00E00
negative regulation of synapse assembly (GO:0051964)	4	1	.11	+	9.50	1.22E-01	1.00E00
endoplasmic reticulum tubular network membrane organization (GO:1990809)	4	1	.11	+	9.50	1.22E-01	1.00E00
neurotransmitter receptor metabolic process (GO:0045213)	4	1	.11	+	9.50	1.22E-01	1.00E00
regulation of polyamine transmembrane transport (GO:1902267)	4	1	.11	+	9.50	1.22E-01	1.00E00
N-terminal protein myristoylation (GO:0006499)	4	1	.11	+	9.50	1.22E-01	1.00E00
positive regulation of endothelial cell chemotaxis by VEGF-activated vascular endothelial growth factor receptor signaling pathway (GO:0038033)	4	1	.11	+	9.50	1.22E-01	1.00E00
G protein-coupled opioid receptor signaling pathway (GO:0038003)	4	1	.11	+	9.50	1.22E-01	1.00E00
negative regulation of histone ubiquitination (GO:0033183)	4	1	.11	+	9.50	1.22E-01	1.00E00
negative regulation of intracellular estrogen receptor signaling pathway (GO:0033147)	8	2	.21	+	9.50	2.57E-02	1.00E00
lipid export from cell (GO:0140353)	4	1	.11	+	9.50	1.22E-01	1.00E00
positive regulation of hepatocyte proliferation (GO:2000347)	8	2	.21	+	9.50	2.57E-02	1.00E00
regulation of terminal button organization (GO:2000331)	4	1	.11	+	9.50	1.22E-01	1.00E00
protein myristoylation (GO:0018377)	4	1	.11	+	9.50	1.22E-01	1.00E00
interleukin-4 production (GO:0032633)	4	1	.11	+	9.50	1.22E-01	1.00E00
regulation of translation at postsynapse (GO:0140245)	4	1	.11	+	9.50	1.22E-01	1.00E00
cellular response to iron ion (GO:0071281)	4	1	.11	+	9.50	1.22E-01	1.00E00
regulation of translation at postsynapse, modulating synaptic transmission (GO:0099578)	4	1	.11	+	9.50	1.22E-01	1.00E00
positive regulation of cell proliferation involved in heart morphogenesis (GO:2000138)	4	1	.11	+	9.50	1.22E-01	1.00E00
regulation of lymphangiogenesis (GO:1901490)	4	1	.11	+	9.50	1.22E-01	1.00E00
regulation of somatostatin secretion (GO:0090273)	4	1	.11	+	9.50	1.22E-01	1.00E00
regulation of fibroblast growth factor production (GO:0090270)	4	1	.11	+	9.50	1.22E-01	1.00E00
regulation of retinal ganglion cell axon guidance (GO:0090259)	4	1	.11	+	9.50	1.22E-01	1.00E00
regulation of male gonad development (GO:2000018)	4	1	.11	+	9.50	1.22E-01	1.00E00
negative regulation of protein localization to cell surface (GO:2000009)	8	2	.21	+	9.50	2.57E-02	1.00E00
inhibitory chemical synaptic transmission (GO:0098977)	4	1	.11	+	9.50	1.22E-01	1.00E00
response to rapamycin (GO:1901355)	4	1	.11	+	9.50	1.22E-01	1.00E00
regulation of ventricular cardiac muscle cell action potential (GO:0098911)	8	2	.21	+	9.50	2.57E-02	1.00E00
positive regulation of branching involved in ureteric bud morphogenesis (GO:0090190)	4	1	.11	+	9.50	1.22E-01	1.00E00
regulation of branching involved in ureteric bud morphogenesis (GO:0090189)	4	1	.11	+	9.50	1.22E-01	1.00E00
regulation of pancreatic juice secretion (GO:0090186)	4	1	.11	+	9.50	1.22E-01	1.00E00
negative regulation of histone H2A K63-linked ubiquitination (GO:1901315)	4	1	.11	+	9.50	1.22E-01	1.00E00
regulation of histone H2A K63-linked ubiquitination (GO:1901314)	4	1	.11	+	9.50	1.22E-01	1.00E00
synapse pruning (GO:0098883)	4	1	.11	+	9.50	1.22E-01	1.00E00
positive regulation of artery morphogenesis (GO:1905653)	4	1	.11	+	9.50	1.22E-01	1.00E00
chromosome movement towards spindle pole (GO:0051305)	4	1	.11	+	9.50	1.22E-01	1.00E00
positive regulation of protein kinase C signaling (GO:0090037)	4	1	.11	+	9.50	1.22E-01	1.00E00
anatomical structure arrangement (GO:0048532)	12	3	.32	+	9.50	6.03E-03	6.41E-01
dopaminergic neuron axon guidance (GO:0036514)	4	1	.11	+	9.50	1.22E-01	1.00E00
regulation of protein localization to endoplasmic reticulum (GO:1905550)	4	1	.11	+	9.50	1.22E-01	1.00E00
regulation of mitotic cell cycle, embryonic (GO:0009794)	4	1	.11	+	9.50	1.22E-01	1.00E00
planar cell polarity pathway involved in axon guidance (GO:1904938)	4	1	.11	+	9.50	1.22E-01	1.00E00
positive regulation of macrophage proliferation (GO:0120041)	4	1	.11	+	9.50	1.22E-01	1.00E00
regulation of macrophage proliferation (GO:0120040)	4	1	.11	+	9.50	1.22E-01	1.00E00
lymph vessel morphogenesis (GO:0036303)	8	2	.21	+	9.50	2.57E-02	1.00E00
atrioventricular canal development (GO:0036302)	4	1	.11	+	9.50	1.22E-01	1.00E00
notochord development (GO:0030903)	4	1	.11	+	9.50	1.22E-01	1.00E00
positive regulation of prostaglandin biosynthetic process (GO:0031394)	4	1	.11	+	9.50	1.22E-01	1.00E00
putrescine metabolic process (GO:0009445)	4	1	.11	+	9.50	1.22E-01	1.00E00
negative regulation of metalloendopeptidase activity (GO:1904684)	4	1	.11	+	9.50	1.22E-01	1.00E00
negative regulation of metallopeptidase activity (GO:1905049)	4	1	.11	+	9.50	1.22E-01	1.00E00
long-chain fatty acid import into peroxisome (GO:0015910)	4	1	.11	+	9.50	1.22E-01	1.00E00
positive regulation of TORC2 signaling (GO:1904515)	4	1	.11	+	9.50	1.22E-01	1.00E00
anion homeostasis (GO:0055081)	16	4	.42	+	9.50	1.48E-03	4.36E-01
motor learning (GO:0061743)	4	1	.11	+	9.50	1.22E-01	1.00E00
post-embryonic camera-type eye development (GO:0031077)	4	1	.11	+	9.50	1.22E-01	1.00E00
R-loop disassembly (GO:0062176)	4	1	.11	+	9.50	1.22E-01	1.00E00
free ubiquitin chain polymerization (GO:0010994)	4	1	.11	+	9.50	1.22E-01	1.00E00
positive regulation of protein kinase C activity (GO:1900020)	4	1	.11	+	9.50	1.22E-01	1.00E00
regulation of protein kinase C activity (GO:1900019)	4	1	.11	+	9.50	1.22E-01	1.00E00
spontaneous neurotransmitter secretion (GO:0061669)	8	2	.21	+	9.50	2.57E-02	1.00E00
long-chain fatty-acyl-CoA biosynthetic process (GO:0035338)	4	1	.11	+	9.50	1.22E-01	1.00E00
positive regulation of hippo signaling (GO:0035332)	4	1	.11	+	9.50	1.22E-01	1.00E00
cardiac muscle cell-cardiac muscle cell adhesion (GO:0086042)	4	1	.11	+	9.50	1.22E-01	1.00E00
peristalsis (GO:0030432)	4	1	.11	+	9.50	1.22E-01	1.00E00
cranial ganglion development (GO:0061550)	4	1	.11	+	9.50	1.22E-01	1.00E00
peptidyl-arginine omega-N-methylation (GO:0035247)	4	1	.11	+	9.50	1.22E-01	1.00E00
motor neuron migration (GO:0097475)	8	2	.21	+	9.50	2.57E-02	1.00E00
positive regulation of protein kinase A signaling (GO:0010739)	4	1	.11	+	9.50	1.22E-01	1.00E00
regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418)	8	2	.21	+	9.50	2.57E-02	1.00E00
regulation of Wnt protein secretion (GO:0061356)	4	1	.11	+	9.50	1.22E-01	1.00E00
nuclear speck organization (GO:0035063)	4	1	.11	+	9.50	1.22E-01	1.00E00
regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis (GO:1903587)	4	1	.11	+	9.50	1.22E-01	1.00E00
transition between fast and slow fiber (GO:0014883)	4	1	.11	+	9.50	1.22E-01	1.00E00
positive regulation of inhibitory postsynaptic potential (GO:0097151)	8	2	.21	+	9.50	2.57E-02	1.00E00
gephyrin clustering involved in postsynaptic density assembly (GO:0097116)	4	1	.11	+	9.50	1.22E-01	1.00E00
positive regulation of striated muscle contraction (GO:0045989)	4	1	.11	+	9.50	1.22E-01	1.00E00
postsynaptic membrane assembly (GO:0097104)	8	2	.21	+	9.50	2.57E-02	1.00E00
cell differentiation involved in salivary gland development (GO:0060689)	4	1	.11	+	9.50	1.22E-01	1.00E00
dichotomous subdivision of terminal units involved in salivary gland branching (GO:0060666)	4	1	.11	+	9.50	1.22E-01	1.00E00
vascular associated smooth muscle cell development (GO:0097084)	4	1	.11	+	9.50	1.22E-01	1.00E00
positive regulation of phospholipid translocation (GO:0061092)	4	1	.11	+	9.50	1.22E-01	1.00E00
negative regulation of T cell mediated immunity (GO:0002710)	4	1	.11	+	9.50	1.22E-01	1.00E00
