




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	Micro-PVM All DE Genes.txt (Mus musculus)
Reference List:	Micro-PVM All Expressed Genes.txt (Mus musculus)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Micro-PVM All Expressed Genes.txt - REFLIST (4751)	Micro-PVM All DE Genes.txt (40)	Micro-PVM All DE Genes.txt (expected)	Micro-PVM All DE Genes.txt (over/under)	Micro-PVM All DE Genes.txt (fold Enrichment)	Micro-PVM All DE Genes.txt (raw P-value)	Micro-PVM All DE Genes.txt (FDR)
regulation of forebrain neuron differentiation (GO:2000977)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
developmental maturation (GO:0021700)	89	1	.75	+	1.33	5.33E-01	1.00E00
regulation of pro-B cell differentiation (GO:2000973)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
lung epithelial cell differentiation (GO:0060487)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
club cell differentiation (GO:0060486)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
mesenchyme development (GO:0060485)	61	2	.51	+	3.89	9.66E-02	1.00E00
lung-associated mesenchyme development (GO:0060484)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
sensory organ development (GO:0007423)	139	1	1.17	-	.85	1.00E00	1.00E00
peripheral nervous system development (GO:0007422)	18	1	.15	+	6.60	1.48E-01	1.00E00
protein transport (GO:0015031)	496	1	4.18	-	.24	1.19E-01	1.00E00
lobar bronchus development (GO:0060482)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lobar bronchus epithelium development (GO:0060481)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
brain development (GO:0007420)	255	6	2.15	+	2.79	1.99E-02	1.00E00
positive regulation of heart rate by epinephrine (GO:0003065)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of heart rate by chemical signal (GO:0003062)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of the force of heart contraction by norepinephrine (GO:0003061)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of AMPA receptor activity (GO:2000969)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lung cell differentiation (GO:0060479)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
ventral midline development (GO:0007418)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
acrosomal vesicle exocytosis (GO:0060478)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
central nervous system development (GO:0007417)	332	7	2.80	+	2.50	2.04E-02	1.00E00
axonal fasciculation (GO:0007413)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
axon target recognition (GO:0007412)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
axon guidance (GO:0007411)	68	0	.57	-	 < 0.01	1.00E00	1.00E00
cortical granule exocytosis (GO:0060471)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of the force of heart contraction by epinephrine (GO:0003059)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of the force of heart contraction by chemical signal (GO:0003057)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of vascular associated smooth muscle contraction (GO:0003056)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
axonogenesis (GO:0007409)	130	1	1.09	-	.91	1.00E00	1.00E00
prevention of polyspermy (GO:0060468)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of fertilization (GO:0060467)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of neuroblast proliferation (GO:0007406)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
heparan sulfate proteoglycan biosynthetic process, enzymatic modification (GO:0015015)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
activation of meiosis involved in egg activation (GO:0060466)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
neuroblast proliferation (GO:0007405)	22	0	.19	-	 < 0.01	1.00E00	1.00E00
heparan sulfate proteoglycan biosynthetic process, polysaccharide chain biosynthetic process (GO:0015014)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
pharynx development (GO:0060465)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glial cell fate determination (GO:0007403)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
heparan sulfate proteoglycan biosynthetic process (GO:0015012)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
lung lobe morphogenesis (GO:0060463)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
lung lobe development (GO:0060462)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of systemic arterial blood pressure mediated by a chemical signal (GO:0003044)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
phenol-containing compound biosynthetic process (GO:0046189)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
aldehyde catabolic process (GO:0046185)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
response to intra-S DNA damage checkpoint signaling (GO:0072429)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
aldehyde biosynthetic process (GO:0046184)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
response to DNA damage checkpoint signaling (GO:0072423)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of digestive system process (GO:0060457)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of digestive system process (GO:0060456)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
germ-line sex determination (GO:0018992)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of cardiac muscle contraction (GO:0060452)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
detection of oxygen (GO:0003032)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
polyol catabolic process (GO:0046174)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
polyol biosynthetic process (GO:0046173)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
bud elongation involved in lung branching (GO:0060449)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dichotomous subdivision of terminal units involved in lung branching (GO:0060448)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
branching involved in salivary gland morphogenesis (GO:0060445)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
branching involved in mammary gland duct morphogenesis (GO:0060444)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
mitochondrial large ribosomal subunit assembly (GO:1902775)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mammary gland morphogenesis (GO:0060443)	18	0	.15	-	 < 0.01	1.00E00	1.00E00
late endosome to lysosome transport (GO:1902774)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
branching involved in prostate gland morphogenesis (GO:0060442)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
epithelial tube branching involved in lung morphogenesis (GO:0060441)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
trachea formation (GO:0060440)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of choline O-acetyltransferase activity (GO:1902771)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of systemic arterial blood pressure by aortic arch baroreceptor feedback (GO:0003026)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of systemic arterial blood pressure by baroreceptor feedback (GO:0003025)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
alcohol biosynthetic process (GO:0046165)	18	0	.15	-	 < 0.01	1.00E00	1.00E00
alcohol catabolic process (GO:0046164)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
activation of protein kinase A activity (GO:0034199)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to amino acid starvation (GO:0034198)	21	0	.18	-	 < 0.01	1.00E00	1.00E00
response to DNA integrity checkpoint signaling (GO:0072402)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
triglyceride transport (GO:0034197)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
acylglycerol transport (GO:0034196)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
trachea morphogenesis (GO:0060439)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
trachea development (GO:0060438)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of choline O-acetyltransferase activity (GO:1902769)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
bronchiole development (GO:0060435)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
bronchus morphogenesis (GO:0060434)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
bronchus development (GO:0060433)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
lung saccule development (GO:0060430)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of chondrocyte development (GO:1902761)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
vascular process in circulatory system (GO:0003018)	56	0	.47	-	 < 0.01	1.00E00	1.00E00
respiratory system process (GO:0003016)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
renal system process (GO:0003014)	26	0	.22	-	 < 0.01	1.00E00	1.00E00
circulatory system process (GO:0003013)	121	3	1.02	+	2.94	8.37E-02	1.00E00
muscle system process (GO:0003012)	62	2	.52	+	3.83	9.92E-02	1.00E00
involuntary skeletal muscle contraction (GO:0003011)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
mRNA methylation (GO:0080009)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
epithelium development (GO:0060429)	292	5	2.46	+	2.03	9.87E-02	1.00E00
positive regulation of maintenance of mitotic sister chromatid cohesion (GO:0034184)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
lung epithelium development (GO:0060428)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
negative regulation of maintenance of mitotic sister chromatid cohesion (GO:0034183)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
propylene metabolic process (GO:0018964)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of maintenance of mitotic sister chromatid cohesion (GO:0034182)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
lung morphogenesis (GO:0060425)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
4-nitrophenol metabolic process (GO:0018960)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear pore organization (GO:0006999)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of heart growth (GO:0060421)	16	1	.13	+	7.42	1.33E-01	1.00E00
skeletal muscle contraction (GO:0003009)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
nuclear envelope organization (GO:0006998)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
regulation of heart growth (GO:0060420)	29	1	.24	+	4.10	2.23E-01	1.00E00
positive regulation of cell cycle G2/M phase transition (GO:1902751)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
system process (GO:0003008)	405	6	3.41	+	1.76	1.51E-01	1.00E00
nucleus organization (GO:0006997)	41	0	.35	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell cycle G2/M phase transition (GO:1902750)	19	0	.16	-	 < 0.01	1.00E00	1.00E00
heart morphogenesis (GO:0003007)	80	1	.67	+	1.48	4.96E-01	1.00E00
organelle organization (GO:0006996)	961	7	8.09	-	.87	8.43E-01	1.00E00
developmental process involved in reproduction (GO:0003006)	214	2	1.80	+	1.11	7.01E-01	1.00E00
cellular response to nitrogen starvation (GO:0006995)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regionalization (GO:0003002)	83	0	.70	-	 < 0.01	1.00E00	1.00E00
response to sterol depletion (GO:0006991)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response (GO:0006990)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
pigment catabolic process (GO:0046149)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pigment biosynthetic process (GO:0046148)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
tetrahydrobiopterin metabolic process (GO:0046146)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
toll-like receptor 13 signaling pathway (GO:0034178)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phenol-containing compound metabolic process (GO:0018958)	23	0	.19	-	 < 0.01	1.00E00	1.00E00
heart growth (GO:0060419)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of cell cycle G2/M phase transition (GO:1902749)	35	0	.29	-	 < 0.01	1.00E00	1.00E00
positive regulation of lens fiber cell differentiation (GO:1902748)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to growth hormone (GO:0060416)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
negative regulation of lens fiber cell differentiation (GO:1902747)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
muscle tissue morphogenesis (GO:0060415)	19	1	.16	+	6.25	1.55E-01	1.00E00
regulation of lens fiber cell differentiation (GO:1902746)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
imidazole-containing compound catabolic process (GO:0052805)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of lamellipodium organization (GO:1902745)	23	1	.19	+	5.16	1.83E-01	1.00E00
atrial septum morphogenesis (GO:0060413)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of lamellipodium organization (GO:1902744)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
imidazole-containing compound metabolic process (GO:0052803)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ventricular septum morphogenesis (GO:0060412)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
regulation of lamellipodium organization (GO:1902743)	27	1	.23	+	4.40	2.10E-01	1.00E00
cardiac septum morphogenesis (GO:0060411)	24	0	.20	-	 < 0.01	1.00E00	1.00E00
apoptotic process involved in development (GO:1902742)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
response to unfolded protein (GO:0006986)	43	0	.36	-	 < 0.01	1.00E00	1.00E00
ER-nucleus signaling pathway (GO:0006984)	19	0	.16	-	 < 0.01	1.00E00	1.00E00
ER overload response (GO:0006983)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
negative regulation of vitamin metabolic process (GO:0046137)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleoside catabolic process (GO:0046135)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleoside catabolic process (GO:0046133)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleoside metabolic process (GO:0046131)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
purine ribonucleoside catabolic process (GO:0046130)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of toll-like receptor 9 signaling pathway (GO:0034165)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of acetylcholine metabolic process (GO:0060409)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of toll-like receptor 9 signaling pathway (GO:0034164)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of acetylcholine metabolic process (GO:0060408)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of toll-like receptor 9 signaling pathway (GO:0034163)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
toll-like receptor 9 signaling pathway (GO:0034162)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of toll-like receptor 8 signaling pathway (GO:0034161)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
calcium ion transport into cytosol (GO:0060402)	4	1	.03	+	29.69	4.11E-02	1.00E00
response to oxidative stress (GO:0006979)	116	2	.98	+	2.05	2.59E-01	1.00E00
positive regulation of chondrocyte proliferation (GO:1902732)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator (GO:0006978)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of growth hormone receptor signaling pathway (GO:0060400)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of chondrocyte proliferation (GO:1902731)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest (GO:0006977)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of proteoglycan biosynthetic process (GO:1902730)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
DNA damage induced protein phosphorylation (GO:0006975)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to DNA damage stimulus (GO:0006974)	255	0	2.15	-	 < 0.01	2.73E-01	1.00E00
hyperosmotic response (GO:0006972)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
hypotonic response (GO:0006971)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
response to osmotic stress (GO:0006970)	35	0	.29	-	 < 0.01	1.00E00	1.00E00
purine ribonucleoside biosynthetic process (GO:0046129)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
purine ribonucleoside metabolic process (GO:0046128)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
pyrimidine deoxyribonucleoside metabolic process (GO:0046125)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
purine deoxyribonucleoside catabolic process (GO:0046124)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
purine deoxyribonucleoside metabolic process (GO:0046122)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
deoxyribonucleoside catabolic process (GO:0046121)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of toll-like receptor 8 signaling pathway (GO:0034159)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of toll-like receptor 7 signaling pathway (GO:0034157)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of toll-like receptor 7 signaling pathway (GO:0034155)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
toll-like receptor 7 signaling pathway (GO:0034154)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of growth factor dependent skeletal muscle satellite cell proliferation (GO:1902728)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of toll-like receptor 6 signaling pathway (GO:0034151)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of satellite cell differentiation (GO:1902725)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of skeletal muscle satellite cell proliferation (GO:1902724)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of skeletal muscle satellite cell proliferation (GO:1902723)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular defense response (GO:0006968)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
guanosine catabolic process (GO:0046115)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleobase biosynthetic process (GO:0046112)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of toll-like receptor 4 signaling pathway (GO:0034145)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of toll-like receptor 4 signaling pathway (GO:0034144)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of toll-like receptor 4 signaling pathway (GO:0034143)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
multivesicular body sorting pathway (GO:0071985)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
toll-like receptor 4 signaling pathway (GO:0034142)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
positive regulation of toll-like receptor 3 signaling pathway (GO:0034141)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of toll-like receptor 3 signaling pathway (GO:0034140)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
humoral immune response (GO:0006959)	25	0	.21	-	 < 0.01	1.00E00	1.00E00
complement activation, classical pathway (GO:0006958)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
complement activation, alternative pathway (GO:0006957)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
complement activation (GO:0006956)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
immune response (GO:0006955)	333	1	2.80	-	.36	5.24E-01	1.00E00
inflammatory response (GO:0006954)	143	0	1.20	-	 < 0.01	6.33E-01	1.00E00
acute-phase response (GO:0006953)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
defense response (GO:0006952)	368	0	3.10	-	 < 0.01	7.08E-02	1.00E00
response to stress (GO:0006950)	976	6	8.22	-	.73	5.54E-01	1.00E00
uridine metabolic process (GO:0046108)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
thymidine metabolic process (GO:0046104)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
inosine metabolic process (GO:0046102)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
hypoxanthine biosynthetic process (GO:0046101)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of antigen processing and presentation of peptide antigen via MHC class I (GO:0002590)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
hypoxanthine metabolic process (GO:0046100)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of toll-like receptor 3 signaling pathway (GO:0034139)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
toll-like receptor 3 signaling pathway (GO:0034138)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of toll-like receptor 2 signaling pathway (GO:0034137)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of toll-like receptor 2 signaling pathway (GO:0034136)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of toll-like receptor 2 signaling pathway (GO:0034135)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
toll-like receptor 2 signaling pathway (GO:0034134)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
syncytium formation (GO:0006949)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
striated muscle contraction (GO:0006941)	27	2	.23	+	8.80	2.39E-02	1.00E00
regulation of antigen processing and presentation of peptide antigen via MHC class I (GO:0002589)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of smooth muscle contraction (GO:0006940)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
positive regulation of antigen processing and presentation of peptide antigen via MHC class II (GO:0002588)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of antigen processing and presentation of peptide antigen via MHC class II (GO:0002586)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of antigen processing and presentation of peptide antigen (GO:0002585)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of antigen processing and presentation of peptide antigen (GO:0002584)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of antigen processing and presentation of peptide antigen (GO:0002583)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II (GO:0002582)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II (GO:0002580)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of MyD88-dependent toll-like receptor signaling pathway (GO:0034125)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of MyD88-dependent toll-like receptor signaling pathway (GO:0034124)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of toll-like receptor signaling pathway (GO:0034123)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
ether metabolic process (GO:0018904)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
negative regulation of toll-like receptor signaling pathway (GO:0034122)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of toll-like receptor signaling pathway (GO:0034121)	27	0	.23	-	 < 0.01	1.00E00	1.00E00
establishment or maintenance of cell polarity regulating cell shape (GO:0071963)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitotic sister chromatid cohesion, centromeric (GO:0071962)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
smooth muscle contraction (GO:0006939)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
muscle contraction (GO:0006936)	41	2	.35	+	5.79	4.95E-02	1.00E00
chemotaxis (GO:0006935)	145	2	1.22	+	1.64	3.49E-01	1.00E00
negative regulation of cell adhesion involved in substrate-bound cell migration (GO:0006933)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of antigen processing and presentation (GO:0002579)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
substrate-dependent cell migration, cell extension (GO:0006930)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
